Angle,Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
5,173.02,171.127,173.02,0,1.285,2.067,138.9778896,137.2451007,140.7509009,46.95678793,47.46606169,46.17629794,0.208463443,0.103575109,0.105635581,245,121,124
10,132.63,129.988,132.63,0,0.53,0.885,100.732488,98.83702907,102.5991398,37.98959488,38.29124288,37.49592893,0.274123723,0.134925176,0.139780188,312,153,158
15,114.107,111.117,114.107,0,0.189,0.58,79.09617893,77.26417783,80.90492285,33.75050965,33.68422953,33.65391269,0.314832886,0.155695994,0.159796215,351,173,178
20,97.258,94.132,97.258,0,0.185,0.222,58.5091618,57.07659711,59.95520211,28.17827459,27.81696869,28.41970936,0.34443235,0.172720811,0.172371146,378,189,189
25,65.204,61.505,65.168,0,0.18,0.184,33.77740918,32.72180404,34.85198692,17.17456106,16.77859552,17.46397935,0.366763698,0.185473775,0.181981443,389,196,193
30,33.913,31.555,33.889,0,0,0.034,13.12114641,12.19877907,14.06765364,9.348923359,9.225785498,9.315333004,0.379550563,0.192302325,0.188061998,390,196,193
35,21.307,19.512,21.164,0,0,0.032,6.200155509,5.251978291,7.175847422,5.276754777,5.120635203,5.159258441,0.382371605,0.19391353,0.189233002,390,197,193
40,15.847,13.841,15.801,0,0,0.032,3.397095865,2.382839682,4.439502927,3.543257741,3.351039392,3.357430989,0.383782479,0.19463424,0.189928836,390,197,193
45,13.2,11.025,13.172,0,0,0.032,2.294975449,1.295617886,3.333116668,2.738603926,2.430711694,2.593630239,0.382305212,0.194891453,0.188197344,388,197,191
50,10.579,8.396,10.579,0,0,0.032,1.774067694,0.773947211,2.843765965,2.143943731,1.6871521,2.013729312,0.376588788,0.19492175,0.182461225,382,197,185
55,9.096,6.99,9.092,0,0,0.036,1.586996154,0.639387906,2.625059942,1.895192274,1.43069828,1.750648757,0.37217719,0.195026034,0.177988158,378,197,180
60,8.08,4.921,8.08,0,0,0.035,1.392878135,0.280820382,2.551582828,1.738839287,0.803018385,1.666945311,0.381209264,0.195011844,0.187032648,387,197,190
65,7.379,4.011,7.379,0,0,0.032,1.277336942,0.198473885,2.382566969,1.585582627,0.633895419,1.492107947,0.38445591,0.195097594,0.190257403,390,197,193
70,7.208,3.693,7.208,0,0,0.032,1.259964835,0.180078214,2.366214342,1.566227156,0.581626605,1.472362053,0.38446161,0.19509937,0.190260214,390,197,193
75,7.203,3.58,7.203,0,0,0.032,1.252915119,0.176522132,2.355661116,1.55761354,0.572409039,1.461422974,0.384464212,0.195101837,0.190262753,390,197,193
80,7.237,3.528,7.237,0,0,0.032,1.249798919,0.17456486,2.351466973,1.555761261,0.566731036,1.461291745,0.384470275,0.195102588,0.190265916,390,197,193
85,7.194,3.502,7.194,0,0,0.032,1.234941613,0.165098703,2.341908562,1.546707812,0.545434492,1.452930144,0.382660776,0.195101018,0.188424827,388,197,191
90,7.192,3.485,7.192,0,0,0.042,1.243369376,0.162764967,2.352391232,1.551515794,0.538394718,1.453826734,0.384164021,0.195102604,0.189940738,390,197,192
