Merge,Target,Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
10,10,5.036,2.298,5.036,0,0,0.019,0.99706942,0.19008052,1.82782103,1.188082381,0.540226697,1.093443393,0.282813681,0.143787008,0.139570691,291,147,143
20,10,13.839,3.229,13.839,0,0,0.246,4.959747574,0.144626568,8.692865204,4.741202084,0.536365938,2.775896584,0.328747857,0.143784911,0.185571838,338,147,190
30,10,18.712,5.198,18.712,0,0,1.401,7.262981944,0.335381596,12.0020906,6.213349522,0.946397983,2.995734065,0.35307156,0.143768529,0.210099225,363,147,216
40,10,21.071,5.606,21.071,0,0,3.16,8.932198325,0.492593963,14.21600616,7.130537335,1.162350827,3.040150939,0.372434689,0.143770862,0.229269422,383,147,236
10,20,15.765,15.765,9.564,0,0,0.015,6.143636105,8.71568838,2.680523863,3.887093846,2.819319101,1.909765731,0.329315119,0.189912062,0.140289278,337,193,143
20,20,10.078,7.832,10.055,0,0,0.014,1.724506669,0.722317615,2.743439518,2.066001226,1.554765613,1.989009219,0.378040452,0.191397786,0.18772004,384,193,190
30,20,20.81,15.64,20.81,0,0,0.31,5.025698556,2.57448237,7.22913392,4.671926732,3.678936506,4.285646581,0.402821473,0.191126532,0.212625586,410,193,216
40,20,26.32,18.923,26.32,0,0,0.702,7.826684041,4.367266116,10.66877577,6.255103667,5.057777659,5.534703331,0.421447476,0.190823237,0.23147753,430,193,236
10,30,23.29,23.29,13.564,0.022,1.267,0.022,9.972259777,13.92004105,4.083140424,5.861148896,3.561161996,2.87407513,0.350526055,0.210456347,0.14065297,358,214,144
20,30,23.322,22.875,22.319,0.016,0.4,0.016,8.063062848,8.548327607,7.523210345,5.32392993,5.31317725,5.260412043,0.398509554,0.211786625,0.187628195,405,214,190
30,30,18.688,15.969,18.673,0.4,0.4,0.511,4.053727935,2.88045452,5.223243134,3.99196914,3.612090627,3.936003235,0.425136477,0.212828882,0.213443662,431,214,216
40,30,33.094,29.069,33.094,0.4,0.4,0.713,12.38081838,10.39508883,14.18435691,8.616794104,8.199914557,8.468371694,0.442365234,0.211678688,0.2315864,450,214,235
10,40,34.172,34.172,21.443,0.022,4.126,0.022,13.74246038,18.49198356,6.083460952,7.876615533,5.134385708,4.796237516,0.367181369,0.227742572,0.140471837,376,232,144
20,40,39.005,39.005,35.752,0.014,1.262,0.014,15.20109904,16.76585798,13.30904091,9.184208917,9.012293355,8.997483914,0.414415357,0.228301215,0.186991678,423,232,191
30,40,45.467,43.884,45.278,0.917,1.359,0.917,19.42329226,19.19279335,19.67482296,10.56682842,10.3983287,10.72136652,0.437142901,0.22736304,0.210725532,449,232,216
40,40,48.388,45.175,48.376,1.22,1.22,1.332,21.14287805,19.86490223,22.41917252,12.26624473,11.94019208,12.39351119,0.453336368,0.225986579,0.228194614,467,232,235
